newTime, 0.341834, absoluteTime, 0.341834, accumulator, 0.011834, discrete time, 33, input jump, 0
newTime, 0.341834, absoluteTime, 0.341834, accumulator, 0.011834, discrete time, 33, input jump, 0
newTime, 0.341834, absoluteTime, 0.341834, accumulator, 0.001834, discrete time, 34, input jump, 0
newTime, 0.358598, absoluteTime, 0.358598, accumulator, 0.018598, discrete time, 34, input jump, 0
newTime, 0.358598, absoluteTime, 0.358598, accumulator, 0.008598, discrete time, 35, input jump, 0
newTime, 0.375161, absoluteTime, 0.375161, accumulator, 0.025161, discrete time, 35, input jump, 0
newTime, 0.375161, absoluteTime, 0.375161, accumulator, 0.015161, discrete time, 36, input jump, 0
newTime, 0.375161, absoluteTime, 0.375161, accumulator, 0.015161, discrete time, 36, input jump, 0
newTime, 0.375161, absoluteTime, 0.375161, accumulator, 0.005161, discrete time, 37, input jump, 0
newTime, 0.391916, absoluteTime, 0.391916, accumulator, 0.021916, discrete time, 37, input jump, 0
newTime, 0.391916, absoluteTime, 0.391916, accumulator, 0.011916, discrete time, 38, input jump, 0
newTime, 0.391916, absoluteTime, 0.391916, accumulator, 0.011916, discrete time, 38, input jump, 0
newTime, 0.391916, absoluteTime, 0.391916, accumulator, 0.001916, discrete time, 39, input jump, 0
newTime, 0.408519, absoluteTime, 0.408519, accumulator, 0.018519, discrete time, 39, input jump, 0
newTime, 0.408519, absoluteTime, 0.408519, accumulator, 0.008519, discrete time, 40, input jump, 0
newTime, 0.425217, absoluteTime, 0.425217, accumulator, 0.025217, discrete time, 40, input jump, 0
newTime, 0.425217, absoluteTime, 0.425217, accumulator, 0.015217, discrete time, 41, input jump, 0
newTime, 0.425217, absoluteTime, 0.425217, accumulator, 0.015217, discrete time, 41, input jump, 0
newTime, 0.425217, absoluteTime, 0.425217, accumulator, 0.005217, discrete time, 42, input jump, 0
newTime, 0.441827, absoluteTime, 0.441827, accumulator, 0.021827, discrete time, 42, input jump, 0
newTime, 0.441827, absoluteTime, 0.441827, accumulator, 0.011827, discrete time, 43, input jump, 0
newTime, 0.441827, absoluteTime, 0.441827, accumulator, 0.011827, discrete time, 43, input jump, 0
newTime, 0.441827, absoluteTime, 0.441827, accumulator, 0.001827, discrete time, 44, input jump, 0
newTime, 0.458503, absoluteTime, 0.458503, accumulator, 0.018503, discrete time, 44, input jump, 0
newTime, 0.458503, absoluteTime, 0.458503, accumulator, 0.008503, discrete time, 45, input jump, 0
newTime, 0.475280, absoluteTime, 0.475280, accumulator, 0.025281, discrete time, 45, input jump, 0
newTime, 0.475280, absoluteTime, 0.475280, accumulator, 0.015281, discrete time, 46, input jump, 0
newTime, 0.475280, absoluteTime, 0.475280, accumulator, 0.015281, discrete time, 46, input jump, 0
newTime, 0.475280, absoluteTime, 0.475280, accumulator, 0.005281, discrete time, 47, input jump, 0
newTime, 0.491810, absoluteTime, 0.491810, accumulator, 0.021810, discrete time, 47, input jump, 0
newTime, 0.491810, absoluteTime, 0.491810, accumulator, 0.011810, discrete time, 48, input jump, 0
newTime, 0.491810, absoluteTime, 0.491810, accumulator, 0.011810, discrete time, 48, input jump, 0
newTime, 0.491810, absoluteTime, 0.491810, accumulator, 0.001810, discrete time, 49, input jump, 0
newTime, 0.508554, absoluteTime, 0.508554, accumulator, 0.018554, discrete time, 49, input jump, 0
newTime, 0.508554, absoluteTime, 0.508554, accumulator, 0.008554, discrete time, 50, input jump, 0
newTime, 0.525213, absoluteTime, 0.525213, accumulator, 0.025213, discrete time, 50, input jump, 1
newTime, 0.525213, absoluteTime, 0.525213, accumulator, 0.015213, discrete time, 51, input jump, 1
newTime, 0.525213, absoluteTime, 0.525213, accumulator, 0.015213, discrete time, 51, input jump, 1
newTime, 0.525213, absoluteTime, 0.525213, accumulator, 0.005213, discrete time, 52, input jump, 1
newTime, 0.541833, absoluteTime, 0.541833, accumulator, 0.021833, discrete time, 52, input jump, 0
newTime, 0.541833, absoluteTime, 0.541833, accumulator, 0.011833, discrete time, 53, input jump, 0
newTime, 0.541833, absoluteTime, 0.541833, accumulator, 0.011833, discrete time, 53, input jump, 0
newTime, 0.541833, absoluteTime, 0.541833, accumulator, 0.001833, discrete time, 54, input jump, 0
newTime, 0.558377, absoluteTime, 0.558377, accumulator, 0.018377, discrete time, 54, input jump, 0
newTime, 0.558377, absoluteTime, 0.558377, accumulator, 0.008377, discrete time, 55, input jump, 0
newTime, 0.575035, absoluteTime, 0.575035, accumulator, 0.025035, discrete time, 55, input jump, 0
newTime, 0.575035, absoluteTime, 0.575035, accumulator, 0.015035, discrete time, 56, input jump, 0
newTime, 0.575035, absoluteTime, 0.575035, accumulator, 0.015035, discrete time, 56, input jump, 0
newTime, 0.575035, absoluteTime, 0.575035, accumulator, 0.005035, discrete time, 57, input jump, 0
newTime, 0.591748, absoluteTime, 0.591748, accumulator, 0.021748, discrete time, 57, input jump, 0
newTime, 0.591748, absoluteTime, 0.591748, accumulator, 0.011748, discrete time, 58, input jump, 0
newTime, 0.591748, absoluteTime, 0.591748, accumulator, 0.011748, discrete time, 58, input jump, 0
newTime, 0.591748, absoluteTime, 0.591748, accumulator, 0.001748, discrete time, 59, input jump, 0
newTime, 0.608481, absoluteTime, 0.608481, accumulator, 0.018481, discrete time, 59, input jump, 0
newTime, 0.608481, absoluteTime, 0.608481, accumulator, 0.008481, discrete time, 60, input jump, 0
newTime, 0.625080, absoluteTime, 0.625080, accumulator, 0.025080, discrete time, 60, input jump, 0
newTime, 0.625080, absoluteTime, 0.625080, accumulator, 0.015080, discrete time, 61, input jump, 0
newTime, 0.625080, absoluteTime, 0.625080, accumulator, 0.015080, discrete time, 61, input jump, 0
newTime, 0.625080, absoluteTime, 0.625080, accumulator, 0.005080, discrete time, 62, input jump, 0
newTime, 0.641810, absoluteTime, 0.641810, accumulator, 0.021810, discrete time, 62, input jump, 0
newTime, 0.641810, absoluteTime, 0.641810, accumulator, 0.011810, discrete time, 63, input jump, 0
newTime, 0.641810, absoluteTime, 0.641810, accumulator, 0.011810, discrete time, 63, input jump, 0
newTime, 0.641810, absoluteTime, 0.641810, accumulator, 0.001810, discrete time, 64, input jump, 0
newTime, 0.658398, absoluteTime, 0.658398, accumulator, 0.018398, discrete time, 64, input jump, 0
newTime, 0.658398, absoluteTime, 0.658398, accumulator, 0.008398, discrete time, 65, input jump, 0
newTime, 0.675045, absoluteTime, 0.675045, accumulator, 0.025045, discrete time, 65, input jump, 0
newTime, 0.675045, absoluteTime, 0.675045, accumulator, 0.015045, discrete time, 66, input jump, 0
newTime, 0.675045, absoluteTime, 0.675045, accumulator, 0.015045, discrete time, 66, input jump, 0
newTime, 0.675045, absoluteTime, 0.675045, accumulator, 0.005045, discrete time, 67, input jump, 0
newTime, 0.691740, absoluteTime, 0.691740, accumulator, 0.021740, discrete time, 67, input jump, 0
newTime, 0.691740, absoluteTime, 0.691740, accumulator, 0.011740, discrete time, 68, input jump, 0
newTime, 0.691740, absoluteTime, 0.691740, accumulator, 0.011740, discrete time, 68, input jump, 0
newTime, 0.691740, absoluteTime, 0.691740, accumulator, 0.001740, discrete time, 69, input jump, 0
newTime, 0.708417, absoluteTime, 0.708417, accumulator, 0.018417, discrete time, 69, input jump, 0
newTime, 0.708417, absoluteTime, 0.708417, accumulator, 0.008417, discrete time, 70, input jump, 0
newTime, 0.725157, absoluteTime, 0.725157, accumulator, 0.025157, discrete time, 70, input jump, 0
newTime, 0.725157, absoluteTime, 0.725157, accumulator, 0.015157, discrete time, 71, input jump, 0
newTime, 0.725157, absoluteTime, 0.725157, accumulator, 0.015157, discrete time, 71, input jump, 0
newTime, 0.725157, absoluteTime, 0.725157, accumulator, 0.005157, discrete time, 72, input jump, 0
newTime, 0.741746, absoluteTime, 0.741746, accumulator, 0.021746, discrete time, 72, input jump, 0
newTime, 0.741746, absoluteTime, 0.741746, accumulator, 0.011746, discrete time, 73, input jump, 0
newTime, 0.741746, absoluteTime, 0.741746, accumulator, 0.011746, discrete time, 73, input jump, 0
newTime, 0.741746, absoluteTime, 0.741746, accumulator, 0.001746, discrete time, 74, input jump, 0
newTime, 0.758429, absoluteTime, 0.758429, accumulator, 0.018429, discrete time, 74, input jump, 0
newTime, 0.758429, absoluteTime, 0.758429, accumulator, 0.008429, discrete time, 75, input jump, 0
newTime, 0.775053, absoluteTime, 0.775053, accumulator, 0.025053, discrete time, 75, input jump, 0
newTime, 0.775053, absoluteTime, 0.775053, accumulator, 0.015053, discrete time, 76, input jump, 0
newTime, 0.775053, absoluteTime, 0.775053, accumulator, 0.015053, discrete time, 76, input jump, 0
newTime, 0.775053, absoluteTime, 0.775053, accumulator, 0.005053, discrete time, 77, input jump, 0
newTime, 0.791746, absoluteTime, 0.791746, accumulator, 0.021746, discrete time, 77, input jump, 0
newTime, 0.791746, absoluteTime, 0.791746, accumulator, 0.011746, discrete time, 78, input jump, 0
newTime, 0.791746, absoluteTime, 0.791746, accumulator, 0.011746, discrete time, 78, input jump, 0
newTime, 0.791746, absoluteTime, 0.791746, accumulator, 0.001746, discrete time, 79, input jump, 0
