newTime, 0.341817, absoluteTime, 0.341817, accumulator, 0.011817, discrete time, 33, input jump, 0
newTime, 0.341817, absoluteTime, 0.341817, accumulator, 0.011817, discrete time, 33, input jump, 0
newTime, 0.341817, absoluteTime, 0.341817, accumulator, 0.001817, discrete time, 34, input jump, 0
newTime, 0.358352, absoluteTime, 0.358352, accumulator, 0.018352, discrete time, 34, input jump, 0
newTime, 0.358352, absoluteTime, 0.358352, accumulator, 0.008352, discrete time, 35, input jump, 0
newTime, 0.374898, absoluteTime, 0.374898, accumulator, 0.024898, discrete time, 35, input jump, 0
newTime, 0.374898, absoluteTime, 0.374898, accumulator, 0.014898, discrete time, 36, input jump, 0
newTime, 0.374898, absoluteTime, 0.374898, accumulator, 0.014898, discrete time, 36, input jump, 0
newTime, 0.374898, absoluteTime, 0.374898, accumulator, 0.004898, discrete time, 37, input jump, 0
newTime, 0.391575, absoluteTime, 0.391575, accumulator, 0.021575, discrete time, 37, input jump, 0
newTime, 0.391575, absoluteTime, 0.391575, accumulator, 0.011575, discrete time, 38, input jump, 0
newTime, 0.391575, absoluteTime, 0.391575, accumulator, 0.011575, discrete time, 38, input jump, 0
newTime, 0.391575, absoluteTime, 0.391575, accumulator, 0.001575, discrete time, 39, input jump, 0
newTime, 0.408267, absoluteTime, 0.408267, accumulator, 0.018267, discrete time, 39, input jump, 0
newTime, 0.408267, absoluteTime, 0.408267, accumulator, 0.008267, discrete time, 40, input jump, 0
newTime, 0.424931, absoluteTime, 0.424931, accumulator, 0.024931, discrete time, 40, input jump, 0
newTime, 0.424931, absoluteTime, 0.424931, accumulator, 0.014931, discrete time, 41, input jump, 0
newTime, 0.424931, absoluteTime, 0.424931, accumulator, 0.014931, discrete time, 41, input jump, 0
newTime, 0.424931, absoluteTime, 0.424931, accumulator, 0.004931, discrete time, 42, input jump, 0
newTime, 0.441828, absoluteTime, 0.441828, accumulator, 0.021828, discrete time, 42, input jump, 0
newTime, 0.441828, absoluteTime, 0.441828, accumulator, 0.011828, discrete time, 43, input jump, 0
newTime, 0.441828, absoluteTime, 0.441828, accumulator, 0.011828, discrete time, 43, input jump, 0
newTime, 0.441828, absoluteTime, 0.441828, accumulator, 0.001828, discrete time, 44, input jump, 0
newTime, 0.458388, absoluteTime, 0.458388, accumulator, 0.018388, discrete time, 44, input jump, 0
newTime, 0.458388, absoluteTime, 0.458388, accumulator, 0.008388, discrete time, 45, input jump, 0
newTime, 0.474904, absoluteTime, 0.474904, accumulator, 0.024904, discrete time, 45, input jump, 0
newTime, 0.474904, absoluteTime, 0.474904, accumulator, 0.014904, discrete time, 46, input jump, 0
newTime, 0.474904, absoluteTime, 0.474904, accumulator, 0.014904, discrete time, 46, input jump, 0
newTime, 0.474904, absoluteTime, 0.474904, accumulator, 0.004904, discrete time, 47, input jump, 0
newTime, 0.491545, absoluteTime, 0.491545, accumulator, 0.021545, discrete time, 47, input jump, 0
newTime, 0.491545, absoluteTime, 0.491545, accumulator, 0.011545, discrete time, 48, input jump, 0
newTime, 0.491545, absoluteTime, 0.491545, accumulator, 0.011545, discrete time, 48, input jump, 0
newTime, 0.491545, absoluteTime, 0.491545, accumulator, 0.001545, discrete time, 49, input jump, 0
newTime, 0.508247, absoluteTime, 0.508247, accumulator, 0.018247, discrete time, 49, input jump, 0
newTime, 0.508247, absoluteTime, 0.508247, accumulator, 0.008247, discrete time, 50, input jump, 0
newTime, 0.524961, absoluteTime, 0.524961, accumulator, 0.024961, discrete time, 50, input jump, 1
newTime, 0.524961, absoluteTime, 0.524961, accumulator, 0.014961, discrete time, 51, input jump, 1
newTime, 0.524961, absoluteTime, 0.524961, accumulator, 0.014961, discrete time, 51, input jump, 1
newTime, 0.524961, absoluteTime, 0.524961, accumulator, 0.004961, discrete time, 52, input jump, 1
newTime, 0.541617, absoluteTime, 0.541617, accumulator, 0.021617, discrete time, 52, input jump, 0
newTime, 0.541617, absoluteTime, 0.541617, accumulator, 0.011617, discrete time, 53, input jump, 0
newTime, 0.541617, absoluteTime, 0.541617, accumulator, 0.011617, discrete time, 53, input jump, 0
newTime, 0.541617, absoluteTime, 0.541617, accumulator, 0.001617, discrete time, 54, input jump, 0
newTime, 0.558374, absoluteTime, 0.558374, accumulator, 0.018374, discrete time, 54, input jump, 0
newTime, 0.558374, absoluteTime, 0.558374, accumulator, 0.008374, discrete time, 55, input jump, 0
newTime, 0.574949, absoluteTime, 0.574949, accumulator, 0.024949, discrete time, 55, input jump, 0
newTime, 0.574949, absoluteTime, 0.574949, accumulator, 0.014949, discrete time, 56, input jump, 0
newTime, 0.574949, absoluteTime, 0.574949, accumulator, 0.014949, discrete time, 56, input jump, 0
newTime, 0.574949, absoluteTime, 0.574949, accumulator, 0.004949, discrete time, 57, input jump, 0
newTime, 0.591536, absoluteTime, 0.591536, accumulator, 0.021536, discrete time, 57, input jump, 0
newTime, 0.591536, absoluteTime, 0.591536, accumulator, 0.011536, discrete time, 58, input jump, 0
newTime, 0.591536, absoluteTime, 0.591536, accumulator, 0.011536, discrete time, 58, input jump, 0
newTime, 0.591536, absoluteTime, 0.591536, accumulator, 0.001536, discrete time, 59, input jump, 0
newTime, 0.608219, absoluteTime, 0.608219, accumulator, 0.018219, discrete time, 59, input jump, 0
newTime, 0.608219, absoluteTime, 0.608219, accumulator, 0.008219, discrete time, 60, input jump, 0
newTime, 0.624878, absoluteTime, 0.624878, accumulator, 0.024878, discrete time, 60, input jump, 0
newTime, 0.624878, absoluteTime, 0.624878, accumulator, 0.014878, discrete time, 61, input jump, 0
newTime, 0.624878, absoluteTime, 0.624878, accumulator, 0.014878, discrete time, 61, input jump, 0
newTime, 0.624878, absoluteTime, 0.624878, accumulator, 0.004878, discrete time, 62, input jump, 0
newTime, 0.641608, absoluteTime, 0.641608, accumulator, 0.021608, discrete time, 62, input jump, 0
newTime, 0.641608, absoluteTime, 0.641608, accumulator, 0.011608, discrete time, 63, input jump, 0
newTime, 0.641608, absoluteTime, 0.641608, accumulator, 0.011608, discrete time, 63, input jump, 0
