serverEvent, server time, 8.869401, client Time, 1.121834, server step, 64, client step, 110, step time, 64, input jump, 0
serverEvent, server time, 8.886301, client Time, 1.154768, server step, 65, client step, 113, step time, 65, input jump, 0
serverEvent, server time, 8.902966, client Time, 1.154768, server step, 66, client step, 114, step time, 66, input jump, 0
serverEvent, server time, 8.919641, client Time, 1.188041, server step, 67, client step, 117, step time, 67, input jump, 0
serverEvent, server time, 8.936104, client Time, 1.204573, server step, 68, client step, 118, step time, 68, input jump, 0
serverEvent, server time, 8.952814, client Time, 1.220198, server step, 69, client step, 120, step time, 69, input jump, 0
serverEvent, server time, 8.969515, client Time, 1.237897, server step, 70, client step, 122, step time, 70, input jump, 0
serverEvent, server time, 8.986136, client Time, 1.254159, server step, 71, client step, 123, step time, 71, input jump, 0
serverEvent, server time, 9.002894, client Time, 1.255159, server step, 72, client step, 124, step time, 72, input jump, 0
serverEvent, server time, 9.019292, client Time, 1.271992, server step, 73, client step, 125, step time, 73, input jump, 0
serverEvent, server time, 9.036568, client Time, 1.287885, server step, 74, client step, 127, step time, 74, input jump, 0
serverEvent, server time, 9.052959, client Time, 1.303832, server step, 75, client step, 129, step time, 75, input jump, 0
serverEvent, server time, 9.069498, client Time, 1.320439, server step, 76, client step, 131, step time, 76, input jump, 0
serverEvent, server time, 9.086189, client Time, 1.354646, server step, 77, client step, 133, step time, 77, input jump, 0
serverEvent, server time, 9.102898, client Time, 1.371671, server step, 78, client step, 135, step time, 78, input jump, 0
serverEvent, server time, 9.119467, client Time, 1.370671, server step, 79, client step, 136, step time, 79, input jump, 0
serverEvent, server time, 9.136021, client Time, 1.403694, server step, 80, client step, 138, step time, 80, input jump, 0
serverEvent, server time, 9.152764, client Time, 1.404694, server step, 81, client step, 139, step time, 81, input jump, 0
serverEvent, server time, 9.169678, client Time, 1.422241, server step, 82, client step, 140, step time, 82, input jump, 0
serverEvent, server time, 9.187353, client Time, 1.453727, server step, 83, client step, 143, step time, 83, input jump, 0
serverEvent, server time, 9.202852, client Time, 1.454727, server step, 84, client step, 144, step time, 84, input jump, 0
serverEvent, server time, 9.219366, client Time, 1.472329, server step, 85, client step, 145, step time, 85, input jump, 0
serverEvent, server time, 9.236043, client Time, 1.503621, server step, 86, client step, 148, step time, 86, input jump, 0
serverEvent, server time, 9.252733, client Time, 1.504621, server step, 87, client step, 149, step time, 87, input jump, 0
serverEvent, server time, 9.269338, client Time, 1.520210, server step, 88, client step, 151, step time, 88, input jump, 0
serverEvent, server time, 9.286023, client Time, 1.553618, server step, 89, client step, 153, step time, 89, input jump, 0
serverEvent, server time, 9.303247, client Time, 1.571556, server step, 90, client step, 155, step time, 90, input jump, 0
serverEvent, server time, 9.319673, client Time, 1.570556, server step, 91, client step, 156, step time, 91, input jump, 0
serverEvent, server time, 9.336219, client Time, 1.588207, server step, 92, client step, 157, step time, 92, input jump, 0
serverEvent, server time, 9.352844, client Time, 1.604872, server step, 93, client step, 159, step time, 93, input jump, 0
serverEvent, server time, 9.369481, client Time, 1.621358, server step, 94, client step, 161, step time, 94, input jump, 0
serverEvent, server time, 9.386046, client Time, 1.653541, server step, 95, client step, 163, step time, 95, input jump, 0
